ORDERNUMBER,QUANTITYORDERED,PRICE_EACH (After Discount),CUSTOMER_TYPE,GROSS_SALES_VALUE,Date_Of_Sale (mm-dd-yyyy),STATUS,QTR_ID_of_Order,MONTH_ID_Of_Order,YEAR_Of_Order,CUSTOMERNAME,PHONE,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,Customer_Company_Size
10103,58,100,4,5800,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,43,100,8,4300,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,51,100,10,5100,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,38,54.09,2,2055,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10103,43,83.07,12,3572,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10103,51,57.46,14,2930,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10103,41,100,13,4100,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10103,62,100,16,6200,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,52,100,5,5200,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,57,47.29,9,2696,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10103,52,100,1,5200,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,41,100,15,4100,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10103,47,100,3,4700,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,61,75.63,7,4613,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10103,58,100,6,5800,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10104,50,100,1,5000,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,57,100,9,5700,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,40,100,8,4000,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,45,100,12,4500,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,39,100,13,3900,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,54,100,3,5400,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,51,55.49,6,2830,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Small
10104,60,39.6,10,2376,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Small
10104,42,100,5,4200,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Small
10104,51,47.62,11,2429,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Small
10104,65,65.87,4,4282,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,49,100,7,4900,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Medium
10104,48,53.31,2,2559,1-31-2003,Shipped,1,1,2003,Euro Shopping Channel,(91) 555 94 44,Madrid,28034,Spain,Freyre,Diego,Small
10105,82,100,2,8200,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Large
10105,73,100,15,7300,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Large
10105,61,100,14,6100,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,54,100,11,5400,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,70,100,13,7000,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,73,82.5,10,6023,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,75,100,9,7500,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,76,72.58,4,5516,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,82,79.67,1,6533,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,73,70.67,5,5159,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
10105,61,70.15,12,4279,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
10105,63,65.77,3,4144,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
10105,71,81.14,6,5761,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10105,54,100,7,5400,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
10105,57,56.78,8,3236,02-11-2003,Shipped,1,2,2003,Danish Wholesale Imports,31 12 3555,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
10106,68,100,12,6800,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,66,90.39,2,5966,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,73,83.44,18,6091,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,73,100,17,7300,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,60,88.63,4,5318,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10106,81,74.68,13,6049,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,63,52.6,14,3314,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10106,82,64.83,11,5316,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,58,63.76,3,3698,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10106,65,72.92,5,4740,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10106,71,40.15,6,2851,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10106,63,100,7,6300,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,62,100,16,6200,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,66,100,9,6600,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,64,100,1,6400,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,76,74.4,8,5654,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
10106,80,61.44,10,4915,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10106,80,52.64,15,4211,2-17-2003,Shipped,1,2,2003,Rovelli Gifts,035-640555,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10107,62,95.7,2,5933,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Small
10107,71,99.91,5,7094,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Medium
10107,59,100,4,5900,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Medium
10107,53,100,1,5300,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Medium
10107,61,70.87,6,4323,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Small
10107,57,100,3,5700,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Small
10107,70,83.03,7,5812,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Medium
10107,52,92.9,8,4831,2-24-2003,Shipped,1,2,2003,Land of Toys Inc.,2125557818,NYC,10022,USA,Yu,Kwai,Small
10108,81,100,6,8100,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,93,100,4,9300,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,87,89.38,7,7776,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,84,100,3,8400,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,86,82.39,2,7086,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,74,68.35,9,5058,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10108,77,100,8,7700,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,91,67.77,12,6167,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10108,92,100,11,9200,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,83,58.87,15,4886,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10108,78,63.07,5,4919,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10108,88,100,1,8800,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,79,68.71,10,5428,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10108,75,43.45,13,3259,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10108,79,100,16,7900,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
10108,82,82.99,14,6805,03-03-2003,Shipped,1,3,2003,Cruz & Sons Co.,+63 2 555 3587,Makati City,1227 MM,Philippines,Cruz,Arnold,Small
10109,74,100,4,7400,03-10-2003,Shipped,1,3,2003,Motor Mint Distributors Inc.,2155559857,Philadelphia,71270,USA,Hernandez,Rosa,Medium
10109,86,100,3,8600,03-10-2003,Shipped,1,3,2003,Motor Mint Distributors Inc.,2155559857,Philadelphia,71270,USA,Hernandez,Rosa,Medium
10109,74,100,1,7400,03-10-2003,Shipped,1,3,2003,Motor Mint Distributors Inc.,2155559857,Philadelphia,71270,USA,Hernandez,Rosa,Medium
10109,94,100,5,9400,03-10-2003,Shipped,1,3,2003,Motor Mint Distributors Inc.,2155559857,Philadelphia,71270,USA,Hernandez,Rosa,Large
10109,95,100,2,9500,03-10-2003,Shipped,1,3,2003,Motor Mint Distributors Inc.,2155559857,Philadelphia,71270,USA,Hernandez,Rosa,Medium
10109,77,32.1,6,2472,03-10-2003,Shipped,1,3,2003,Motor Mint Distributors Inc.,2155559857,Philadelphia,71270,USA,Hernandez,Rosa,Small
10110,85,100,16,8500,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,90,100,7,9000,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,80,50.25,6,4020,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10110,81,100,4,8100,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,79,100,1,7900,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,76,89.27,8,6785,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10110,90,61.29,9,5516,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10110,84,85.25,13,7161,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,77,59.37,15,4571,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10110,68,35.51,3,2415,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10110,87,44.35,2,3858,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10110,91,78.15,11,7112,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,94,100,10,9400,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,75,73.62,12,5522,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10110,85,100,14,8500,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10110,96,34.47,5,3309,3-18-2003,Shipped,1,3,2003,"AV Stores, Co.",(171) 555-1555,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10111,81,99.66,6,8072,3-25-2003,Shipped,1,3,2003,Mini Wheels Co.,6505555787,San Francisco,,USA,Murphy,Julie,Medium
10111,96,49.06,5,4710,3-25-2003,Shipped,1,3,2003,Mini Wheels Co.,6505555787,San Francisco,,USA,Murphy,Julie,Small
10111,76,64.33,2,4889,3-25-2003,Shipped,1,3,2003,Mini Wheels Co.,6505555787,San Francisco,,USA,Murphy,Julie,Small
10111,91,100,1,9100,3-25-2003,Shipped,1,3,2003,Mini Wheels Co.,6505555787,San Francisco,,USA,Murphy,Julie,Medium
10111,87,100,4,8700,3-25-2003,Shipped,1,3,2003,Mini Wheels Co.,6505555787,San Francisco,,USA,Murphy,Julie,Medium
10111,74,86.68,3,6414,3-25-2003,Shipped,1,3,2003,Mini Wheels Co.,6505555787,San Francisco,,USA,Murphy,Julie,Small
10112,77,100,1,7700,3-24-2003,Shipped,1,3,2003,"Volvo Model Replicas, Co",0921-12 3555,Lule,S-958 22,Sweden,Berglund,Christina,Large
10112,71,100,2,7100,3-24-2003,Shipped,1,3,2003,"Volvo Model Replicas, Co",0921-12 3555,Lule,S-958 22,Sweden,Berglund,Christina,Small
10113,69,100,2,6900,3-26-2003,Shipped,1,3,2003,Mini Gifts Distributors Ltd.,4155551450,San Rafael,97562,USA,Nelson,Valarie,Medium
10113,97,100,4,9700,3-26-2003,Shipped,1,3,2003,Mini Gifts Distributors Ltd.,4155551450,San Rafael,97562,USA,Nelson,Valarie,Medium
10113,98,49.81,3,4881,3-26-2003,Shipped,1,3,2003,Mini Gifts Distributors Ltd.,4155551450,San Rafael,97562,USA,Nelson,Valarie,Small
10113,71,68.52,1,4865,3-26-2003,Shipped,1,3,2003,Mini Gifts Distributors Ltd.,4155551450,San Rafael,97562,USA,Nelson,Valarie,Small
10114,95,100,8,9500,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Medium
10114,103,100,3,10300,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Medium
10114,109,68.67,6,7485,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Medium
10114,112,100,4,11200,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Large
10114,105,100,9,10500,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Medium
10114,85,100,5,8500,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Small
10114,88,30.06,1,2645,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Small
10114,96,100,7,9600,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Medium
10114,92,55.73,2,5127,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Small
10114,106,100,10,10600,04-01-2003,Shipped,2,4,2003,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,75012,France,Bertrand,Marie,Medium
10115,110,100,5,11000,04-04-2003,Shipped,2,4,2003,Classic Legends Inc.,2125558493,NYC,10022,USA,Hernandez,Maria,Medium
10115,110,100,4,11000,04-04-2003,Shipped,2,4,2003,Classic Legends Inc.,2125558493,NYC,10022,USA,Hernandez,Maria,Large
10115,111,69.36,2,7699,04-04-2003,Shipped,2,4,2003,Classic Legends Inc.,2125558493,NYC,10022,USA,Hernandez,Maria,Medium
10115,108,100,1,10800,04-04-2003,Shipped,2,4,2003,Classic Legends Inc.,2125558493,NYC,10022,USA,Hernandez,Maria,Medium
10115,91,100,3,9100,04-04-2003,Shipped,2,4,2003,Classic Legends Inc.,2125558493,NYC,10022,USA,Hernandez,Maria,Small
10116,91,63.38,1,5768,04-11-2003,Shipped,2,4,2003,Royale Belge,(071) 23 67 2555,Charleroi,B-6000,Belgium,Cartrain,Pascale,Small
10117,97,100,9,9700,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Medium
10117,107,100,10,10700,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Medium
10117,103,100,8,10300,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Medium
10117,90,100,5,9000,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Medium
10117,85,95.8,7,8143,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Small
10117,86,100,12,8600,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Small
10117,87,97.42,4,8476,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Small
10117,105,100,3,10500,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Medium
10117,85,49.21,11,4183,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Small
10117,102,79.68,6,8127,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Medium
10117,109,83.42,1,9093,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Medium
10117,114,43.68,2,4980,4-16-2003,Shipped,2,4,2003,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,79903,Singapore,Natividad,Eric,Small
10118,100,100,1,10000,4-21-2003,Shipped,2,4,2003,Enaco Distributors,(93) 203 4555,Barcelona,8022,Spain,Saavedra,Eduardo,Medium
10119,110,100,11,11000,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Medium
10119,107,100,3,10700,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Medium
10119,85,89.46,9,7604,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,91,99.52,8,9056,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,105,59.6,4,6258,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,99,87.62,13,8674,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Medium
10119,84,72.98,5,6130,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,99,90.57,10,8966,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Medium
10119,92,70.29,2,6467,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,89,76.67,14,6824,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,93,94.14,7,8755,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,102,65.77,12,6709,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,90,59.22,1,5330,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
10119,92,48.17,6,4432,4-28-2003,Shipped,2,4,2003,Salzburg Collectables,6562-9555,Salzburg,5020,Austria,Pipps,Georg,Small
